top_color,bottom_color
#DC143C,#000000
#DC143C,#FA9AAF
#DC143C,#671600
#DC143C,#FD6363
#FF7F50,#FDAE63
#FF7F50,#983248
#FF7F50,#FFFFFF
#FF7F50,#FCE0BB
#FF6347,#FFBA7A
#FF6347,#6E031A
#FF6347,#F14242
#FF6347,#FF5C5C
#FFD700,#BDA09D
#FFD700,#FFFFFF
#FFD700,#FFA662
#FFD700,#FAFFA2
#FFF44F,#FFFFFF
#FFF44F,#000000
#FFF44F,#808080
#FFF44F,#A52A2A
#228B22,#000000
#228B22,#B6FFD6
#228B22,#00894E
#228B22,#FAFFA2
#808000,#F7FAB1
#808000,#85DCAB
#808000,#000000
#808000,#2A6200
#2E8B57,#FFFFFF
#2E8B57,#85DCAB
#2E8B57,#5F655A
#2E8B57,#4CF1B8
#40E0D0,#000000
#40E0D0,#1B5D80
#40E0D0,#84FFB3
#40E0D0,#2E906D
#008080,#FFFEFE
#008080,#AEFFCA
#008080,#70FFE0
#008080,#1B674C
#87CEEB,#BABABA
#87CEEB,#B5FFE8
#87CEEB,#2C3E64
#87CEEB,#3B7FBB
#4682B4,#F7F7F7
#4682B4,#8DC1B0
#4682B4,#A5C2FF
#4682B4,#002F58
#000080,#B0B0B0
#000080,#7FCCDB
#000080,#8A7DFF
#000080,#6F05B0
#191970,#FFFFFF
#191970,#80A3DC
#191970,#C07DFF
#191970,#0661B1
#4B0082,#E0B4FF
#4B0082,#E4E4E4
#4B0082,#988CFF
#4B0082,#0558B0
#E6E6FA,#FFD9B7
#E6E6FA,#A94F01
#E6E6FA,#F56C5F
#E6E6FA,#452305
#EE82EE,#FFD9B7
#EE82EE,#A94F01
#EE82EE,#F5A85F
#EE82EE,#452305
#FF00FF,#FFD9B7
#FF00FF,#B6A18F
#FF00FF,#FCC28B
#FF00FF,#2A1400
#DA70D6,#FFE49F
#DA70D6,#D97621
#DA70D6,#7D7415
#DA70D6,#341900
#D8BFD8,#FFD6AD
#D8BFD8,#CC573F
#D8BFD8,#000000
#D8BFD8,#6F3600
#DDA0DD,#B9A0DE
#DDA0DD,#AB506D
#DDA0DD,#000000
#DDA0DD,#733B73
#FF69B4,#D8D7DA
#FF69B4,#FF6998
#FF69B4,#000000
#FF69B4,#F490FF
#FF1493,#FFFFFF
#FF1493,#FF6998
#FF1493,#000000
#FF1493,#F490FF
#B22222,#B35522
#B22222,#650000
#B22222,#000000
#B22222,#B3225C
#FA8072,#B35522
#FA8072,#650000
#FA8072,#000000
#FA8072,#B3225C
#F4A460,#B35522
#F4A460,#650000
#F4A460,#000000
#F4A460,#F5785F
#D2691E,#FFB48C
#D2691E,#510E0E
#D2691E,#000000
#D2691E,#FFB977
#A0522D,#FFAD82
#A0522D,#FFDC8B
#A0522D,#ABABAB
#A0522D,#FFBB7C
#DAA520,#F5F5F5
#DAA520,#000000
#DAA520,#FFDD88
#DAA520,#FFBB7C
#CD853F,#422100
#CD853F,#000000
#CD853F,#FCC997
#CD853F,#FFF2E7
#D2B48C,#42280F
#D2B48C,#000000
#D2B48C,#FFB770
#D2B48C,#D1998C
#F0E68C,#748C50
#F0E68C,#FFFFFD
#F0E68C,#FFB770
#F0E68C,#C3E69C
#BDB76B,#BDB76B
#BDB76B,#000000
#BDB76B,#9EBD6C
#BDB76B,#FAEE83
#708090,#708090
#708090,#A0A0A0
#708090,#134F8A
#708090,#000000
#778899,#E4F1FF
#778899,#A0A0A0
#778899,#134F8A
#778899,#000000
#696969,#FFFFFF
#696969,#ACA0A0
#696969,#714D4D
#696969,#6F0000
#F08080,#FFFFFF
#F08080,#ACA0A0
#F08080,#714D4D
#F08080,#6F0000
#BC8F8F,#F1EFEF
#BC8F8F,#4E3030
#BC8F8F,#714D4D
#BC8F8F,#FF7171
#CD5C5C,#F1EFEF
#CD5C5C,#540202
#CD5C5C,#563737
#CD5C5C,#FF9BA0
#800000,#000000
#800000,#A93434
#800000,#563737
#800000,#FF9BA0
#00FFFF,#7FFFD4
#00FFFF,#F0FFFF
#00FFFF,#F5F5DC
#00FFFF,#FFE4C4
#7FFFD4,#AFEEEE
#7FFFD4,#00CED1
#7FFFD4,#F0FFFF
#7FFFD4,#66CDAA
#FFE4C4,#A5985B
#FFE4C4,#766D6A
#FFE4C4,#97A45C
#FFE4C4,#7B5959
#0000FF,#19454E
#0000FF,#300D44
#0000FF,#507D98
#0000FF,#9FB0EB
#8A2BE2,#340E49
#8A2BE2,#7C77C9
#8A2BE2,#1F1A7B
#8A2BE2,#843272
#A52A2A,#653737
#A52A2A,#C9B377
#A52A2A,#7A4D1A
#A52A2A,#853240
#DEB887,#374E66
#DEB887,#C97B77
#DEB887,#7A281A
#DEB887,#7A8532
#5F9EA0,#6B9864
#5F9EA0,#415C78
#5F9EA0,#0D130E
#5F9EA0,#328555
#7FFF00,#37802B
#7FFF00,#787641
#7FFF00,#A3BD8F
#7FFF00,#6C9D2D
#6495ED,#404793
#6495ED,#416E78
#6495ED,#8F9EA4
#6495ED,#783498
#FFF8DC,#93A960
#FFF8DC,#9B8484
#FFF8DC,#757A62
#FFF8DC,#9A9339
#000000,#132207
#000000,#3D0D0D
#000000,#06282C
#000000,#270529
#00008B,#0A678C
#00008B,#580B3F
#00008B,#383E4E
#00008B,#6F0713
#008B8B,#CAE9C6
#008B8B,#85A07D
#008B8B,#686A95
#008B8B,#4C474E
#B8860B,#584C4C
#B8860B,#E7DFA9
#B8860B,#B1BAA3
#B8860B,#513D37
#006400,#020301
#006400,#7F7A5B
#006400,#404E4A
#006400,#374E37
#8B008B,#4F4C62
#8B008B,#E4CACA
#8B008B,#DCD1D5
#8B008B,#353154
#556B2F,#6B392F
#556B2F,#2F6B4C
#556B2F,#19201B
#556B2F,#AEAC83
#E9967A,#827B7E
#E9967A,#C9CBB1
#E9967A,#191517
#E9967A,#7D745C
#8FBC8F,#BDB48F
#8FBC8F,#758E8D
#8FBC8F,#1B201B
#8FBC8F,#62605B
#483D8B,#112525
#483D8B,#2C061B
#483D8B,#0F1631
#483D8B,#325F73
#2F4F4F,#091414
#2F4F4F,#333140
#2F4F4F,#323B32
#2F4F4F,#091D0E
#00CED1,#1A447B
#00CED1,#82A584
#00CED1,#025153
#00CED1,#4E7324
#9400D3,#5D6276
#9400D3,#54163B
#9400D3,#24142A
#9400D3,#340708
#00BFFF,#33758A
#00BFFF,#7F98A0
#00BFFF,#C4C0CC
#00BFFF,#15691E
#1E90FF,#11202F
#1E90FF,#8B95A0
#1E90FF,#1F762B
#1E90FF,#C7AACB
#228B22,#071B07
#228B22,#3E4C3E
#228B22,#5D643E
#228B22,#527E80
#DCDCDC,#2A2A2A
